,max_depth,minInstancesPerNode,training f1,testing f1,Best Model
0,2.0,2.0,0.954853917378421,0.9474422338203952,0.0
1,2.0,3.0,0.954853917378421,0.9474422338203952,0.0
2,2.0,4.0,0.954853917378421,0.9474422338203952,0.0
3,2.0,5.0,0.954853917378421,0.9474422338203952,0.0
4,2.0,6.0,0.9530747395788448,0.9548872180451127,0.0
5,2.0,7.0,0.9492861493743121,0.9319945827301173,0.0
6,2.0,8.0,0.9492861493743121,0.9319945827301173,0.0
7,2.0,9.0,0.9492861493743121,0.9319945827301173,0.0
8,2.0,10.0,0.9492861493743121,0.9319945827301173,0.0
9,3.0,2.0,0.9621200369050965,0.9396581075329834,0.0
10,3.0,3.0,0.9621614748887477,0.9474422338203952,0.0
11,3.0,4.0,0.9621614748887477,0.9474422338203952,0.0
12,3.0,5.0,0.9603808362723327,0.9475703207451935,0.0
13,3.0,6.0,0.9550481877773538,0.9475703207451935,0.0
14,3.0,7.0,0.9512971903065526,0.9248120300751879,0.0
15,3.0,8.0,0.9492861493743121,0.9319945827301173,0.0
16,3.0,9.0,0.9492861493743121,0.9319945827301173,0.0
17,3.0,10.0,0.9492861493743121,0.9319945827301173,0.0
18,4.0,2.0,0.971020656785321,0.9622192126278428,0.0
19,4.0,3.0,0.9710557627455134,0.9699248120300752,1000.0
20,4.0,4.0,0.9710557627455134,0.9699248120300752,0.0
21,4.0,5.0,0.9655657262277951,0.9699248120300752,0.0
22,4.0,6.0,0.9602016737750809,0.9699248120300752,0.0
23,4.0,7.0,0.9564209983564822,0.94710689767898,0.0
24,4.0,8.0,0.9543887293398056,0.9543856053332758,0.0
25,4.0,9.0,0.9543887293398056,0.9543856053332758,0.0
26,4.0,10.0,0.9543887293398056,0.9543856053332758,0.0
27,5.0,2.0,0.9782654925889909,0.9396581075329834,0.0
28,5.0,3.0,0.9783173843700159,0.9474422338203952,0.0
29,5.0,4.0,0.9765504990364884,0.9550081497449918,0.0
30,5.0,5.0,0.971089845826688,0.9550081497449918,0.0
31,5.0,6.0,0.9602016737750809,0.9699248120300752,0.0
32,5.0,7.0,0.9564209983564822,0.94710689767898,0.0
33,5.0,8.0,0.9543887293398056,0.9543856053332758,0.0
