,max_depth,minInstancesPerNode,training f1,testing f1,Best Model
0,2.0,2.0,0.954853917378421,0.9474422338203952,0.0
1,2.0,3.0,0.954853917378421,0.9474422338203952,0.0
2,2.0,4.0,0.954853917378421,0.9474422338203952,0.0
3,2.0,5.0,0.954853917378421,0.9474422338203952,0.0
4,2.0,6.0,0.9530747395788448,0.9548872180451127,0.0
5,3.0,2.0,0.9621200369050965,0.9396581075329834,0.0
6,3.0,3.0,0.9621614748887477,0.9474422338203952,0.0
7,3.0,4.0,0.9621614748887477,0.9474422338203952,0.0
8,3.0,5.0,0.9603808362723327,0.9475703207451935,0.0
9,3.0,6.0,0.9550481877773538,0.9475703207451935,0.0
10,4.0,2.0,0.971020656785321,0.9622192126278428,0.0
11,4.0,3.0,0.9710557627455134,0.9699248120300752,1000.0
12,4.0,4.0,0.9710557627455134,0.9699248120300752,0.0
13,4.0,5.0,0.9655657262277951,0.9699248120300752,0.0
14,4.0,6.0,0.9602016737750809,0.9699248120300752,0.0
15,5.0,2.0,0.9782654925889909,0.9396581075329834,0.0
16,5.0,3.0,0.9783173843700159,0.9474422338203952,0.0
17,5.0,4.0,0.9765504990364884,0.9550081497449918,0.0
18,5.0,5.0,0.971089845826688,0.9550081497449918,0.0
19,5.0,6.0,0.9602016737750809,0.9699248120300752,0.0
20,6.0,2.0,0.9781220432312583,0.9317262421644676,0.0
21,6.0,3.0,0.978210499178241,0.932227412120497,0.0
22,6.0,4.0,0.9764397074190179,0.9398496240601504,0.0
23,6.0,5.0,0.970947332237655,0.9398496240601504,0.0
24,6.0,6.0,0.96,0.9547435806497376,0.0
25,7.0,2.0,0.9835799425623301,0.9394354832951323,0.0
26,7.0,3.0,0.9836890282131662,0.9474422338203952,0.0
27,7.0,4.0,0.9801126403887886,0.9550081497449918,0.0
28,7.0,5.0,0.970947332237655,0.9398496240601504,0.0
29,7.0,6.0,0.96,0.9547435806497376,0.0
30,8.0,2.0,0.9853726593519074,0.9394354832951323,0.0
31,8.0,3.0,0.9836890282131662,0.9474422338203952,0.0
32,8.0,4.0,0.9801126403887886,0.9550081497449918,0.0
33,8.0,5.0,0.970947332237655,0.9398496240601504,0.0
34,8.0,6.0,0.96,0.9547435806497376,0.0
35,9.0,2.0,0.9853726593519074,0.9394354832951323,0.0
36,9.0,3.0,0.9836890282131662,0.9474422338203952,0.0
37,9.0,4.0,0.9801126403887886,0.9550081497449918,0.0
38,9.0,5.0,0.970947332237655,0.9398496240601504,0.0
39,9.0,6.0,0.96,0.9547435806497376,0.0
40,10.0,2.0,0.9853726593519074,0.9394354832951323,0.0
41,10.0,3.0,0.9836890282131662,0.9474422338203952,0.0
42,10.0,4.0,0.9801126403887886,0.9550081497449918,0.0
43,10.0,5.0,0.970947332237655,0.9398496240601504,0.0
44,10.0,6.0,0.96,0.9547435806497376,0.0
45,11.0,2.0,0.9853726593519074,0.9394354832951323,0.0
46,11.0,3.0,0.9836890282131662,0.9474422338203952,0.0
47,11.0,4.0,0.9801126403887886,0.9550081497449918,0.0
48,11.0,5.0,0.970947332237655,0.9398496240601504,0.0
49,11.0,6.0,0.96,0.9547435806497376,0.0
